exp_id	date	tps	mfu_percent	step_time_ms	peak_hbm_gib	config	status	description
exp44	2026-04-24	34461	22.95	356.57	TBD	seq=1024|batch=3|fsdp=4|bf16|splash|bf16_CE|LIBTPU:scoped_vmem_limit_kib=65536	inconclusive	VMEM limit 128 MiB -> 64 MiB symmetric to exp 41; -0.44% flat; combined with exp 41 confirms default 128 MiB is the local optimum; not merged; writeup 2026-04-24-exp44-jax-vmem-64-potential.md
exp45	2026-04-24	34621	23.06	354.0	TBD	seq=1024|batch=3|fsdp=4|bf16|splash|bf16_CE|JAX_COMPILATION_CACHE_DIR=/tmp/jax_compile_cache	keep	persistent JAX compile cache; first run populates cache (compile 180s+180s=360s), second run hits cache (15s+14s=29s); 6.67x faster total wall clock (389s -> 58s); steady-state TPS unchanged; recommend default-on for future runs; writeup 2026-04-24-exp45-jax-compile-cache-accepted.md
exp48a	2026-04-24	34626	23.06	354.88	TBD	seq=1024|batch=3|fsdp=4|bf16|splash|SPLASH_BLOCK_KV_COMPUTE=512	inconclusive	splash sweep variant: inner compute tile half of outer; +0.03% flat; writeup 2026-04-24-exp48-jax-splash-param-sweep-potential.md
exp48b	2026-04-24	34569	23.02	355.47	TBD	seq=1024|batch=3|fsdp=4|bf16|splash|SPLASH_QKV_LAYOUT=HEAD_DIM_MINOR	inconclusive	splash sweep variant: HEAD_DIM_MINOR layout (opposite of SEQ_MINOR default); -0.13% flat; torchax exp24 +0.5% didn't reproduce on JAX; writeup 2026-04-24-exp48-jax-splash-param-sweep-potential.md
exp47	2026-04-24	32671	21.76	376.12	TBD	seq=1024|batch=3|fsdp=4|bf16|splash|JAX_CE_IMPL=levanter|block=(1024,256,512)	discard	marin/levanter fused Pallas linear+softcap+CE kernel on JAX splash+b3 stack; -5.61% TPS vs exp36 (34,614->32,671); parity PASS (bf16 |diff|=0.048 vs tol=0.05), smoke step-4 loss within 0.47% of exp36; regression root-caused to Pallas custom-call boundary + 1.31 GiB lm_head-weight all-gather inside shard_map breaking XLA's existing lm_head+softcap+log_softmax fusion (CE was <3% of step time at b=3, not a bottleneck); softcap gap from exp43 is closed (levanter API has logit_soft_cap kwarg applied inline on each VMEM tile), but the integration tax outweighs the savings on this workload. Custom-call-tax pattern mirrors torchax exp33 (Pallas RMSNorm). Not merged. Exp 36 remains JAX-stack best at 34,614 TPS. writeup 2026-04-24-exp47-jax-levanter-ce-rejected.md
exp49	2026-04-24	27290	18.17	450.27	TBD	seq=1024|batch=3|fsdp=4|bf16|splash|JAX_SCAN_LAYERS=1	keep	scan-over-layers in JAX stack (two nested jax.lax.scan replacing the 42-iter Python for-loop); outer scan over 7 super-blocks, inner scan over 5 sliding layers per block, 1 full-attention layer per block applied inline. Compile step 0: 180s -> 69.3s (-61.5%, 2.6x faster) — DURABLE compile-time win. TPS regressed -21.2% (34,614 -> 27,290), MFU 23.05% -> 18.17%. Loss match clean: step 4 2.1875 -> 2.1990 (+0.5%), step 19 1.8359 -> 1.8441 (+0.5%). Regression sources: wasted k_proj/v_proj matmuls on 18 KV-shared layers (zero-stub weights still materialize in HLO inside scan body); jax.checkpoint per-layer remat forced uniformly (prevented 35 GiB scan-activation OOM); splash+shard_map nested inside scan limits XLA collective scheduling. Env gate off by default (JAX_SCAN_LAYERS=1 to enable); exp 36 remains JAX-stack best. Code on main; useful for compile-budget-constrained dev loops on cache miss where the 180->69s floor drop matters more than steady-state TPS. writeup 2026-04-24-exp49-jax-scan-layers-potential.md
exp50	2026-04-24	29044	19.34	423.08	TBD	seq=1024|batch=3|fsdp=4|bf16|splash|JAX_SCAN_LAYERS=1|two-scan-split|no-outer-ckpt	keep	scan-over-layers tuned: two separate scans (4-block non-shared producing K/V store in carry; 3-block shared reading K/V from closure) eliminates exp 49's zero-stub matmuls on 18 KV-shared layers. Applied Fix A (no inner checkpoint) which OOM'd at 52 GiB, fell back to Fix B (inner jax.checkpoint with policy=checkpoint_dots_with_no_batch_dims matching exp 36's outer policy). Additional fix: removed outer jax.checkpoint(forward_loss, policy=...) in train.py when JAX_SCAN_LAYERS=1 — nested checkpoints were double-remat'ing (saved ~34 ms/step, 7.9%). Compile step 0: 180s -> 72.7s fresh (-59.6%). TPS 34,614 -> 29,044 (-16.1% all-sample) or 30,778 (-11.1% excluding one 828ms step-9 outlier that is non-structural). +6.4% TPS (all-sample) or +12.8% (outlier-excluded) over exp 49. MFU 20.50% (17-sample) / 19.34% (all-sample). Loss step 4 2.1875 -> 2.1730 (-0.66%), step 19 1.8359 -> 1.8271 (-0.48%), well within 5% tolerance. Closes ~5 of 21 pt exp 49 regression but still >5% TPS off exp 36. Env gate off by default; exp 36 remains JAX-stack best. writeup 2026-04-24-exp50-jax-scan-tuned-potential.md
exp51	2026-04-24	13792	9.19	890.93	TBD	seq=1024|batch=3|fsdp=4|bf16|xla_sdpa|scan_layers|checkpoint_dots	discard	scan+XLA SDPA isolation test; -60% vs exp36, -52% vs exp50 splash+scan; refutes splash-as-culprit hypothesis; XLA cannot share [B,H,S,S] score tensor across scan iterations; scan REQUIRES splash/flash-like internal tiling; not merged; writeup 2026-04-24-exp51-jax-scan-xla-sdpa-rejected.md
exp52	2026-04-24	26807	TBD	305.6	TBD	seq=2048|batch=1|fsdp=4|fp32-master+bf16-compute|splash|new-regime	keep	NEW REGIME BASELINE (fp32 master weights + bf16 compute AMP). User asked for seq=8192 b=1 fp32-master — OOMs on v6e-4 at 35.18 GiB vs 31.25 GiB (exceeded by 3.93 GiB); legacy bf16 also OOMs at seq=8192 (36.16 GiB, -4.91 GiB short). seq=4096 b=1 fp32-master also OOMs (39.58 GiB); non-monotonic XLA scheduling. seq=2048 b=1 fp32-master is largest feasible config, steady-state 305.6 ms/step -> 26,807 TPS. -15.7% vs exp40 (seq=2048 b=2 bf16-only at 31,809 TPS) but exp40 shape (b=2) is infeasible under fp32-master. Loss descent clean 3.25->2.30, no NaN, matches exp40 within bf16 noise. AMP implementation: NNX Linear/Embedding/RMSNorm split weights_dtype/compute_dtype kwargs; weight downcast to compute_dtype at matmul call; weight_loader scatter-shards fp32 directly into sharded NNX params (avoids the 10.5 GiB fp32 PLE on single-device init OOM). JAX_REMAT_POLICY env var exposed {dots_with_no_batch_dims, nothing_saveable, offload_dot_with_no_batch_dims, ...}; nothing_saveable and offload are WORSE at seq=8192 (39.66 and 38.17 GiB resp.) — XLA planner doesn't credit offload as HBM-freed. writeup 2026-04-24-exp52-jax-fp32master-seq2k-accepted.md
exp53	2026-04-24	26807	TBD	305.6	TBD	seq=2048|batch=1|fsdp=4|fp32-master+bf16-compute|splash|SPLASH_BLOCK=512	discard	Splash block-size sweep under the new regime. Block=2048 (full-tile) errors with CompileTimeScopedVmemOom (32.14 MiB needed vs 32 MiB VMEM limit, 144 KiB over). Block=512 is dead flat vs exp 52 default (block=1024): 305.6 ms median, 26,807 TPS, -0.0% within noise. Confirms the old-regime exp 48 plateau transfers to the new regime — splash block size is not a TPS lever for Gemma 4 E4B on v6e-4 at any shape measured so far. Not merged; exp 52 remains new-regime baseline. writeup 2026-04-24-exp53-jax-splash-block-sweep-fp32master-rejected.md
exp55	2026-05-12	-	-	-	-	seq=2048|batch=1|fsdp=4|fp32-master+bf16-compute|splash|JAX_SCAN_LAYERS=1	crash	Scan-over-layers enabled (JAX_SCAN_LAYERS=1) at the new fp32-master baseline. Crashed with CompileTimeHbmOom during step 0 (Used 31.91G of 31.25G hbm). The fp32-master config at seq=2048 b=1 is already at 98.8% memory capacity (leaving ~350MB free); the slight structural memory overhead of the scan body + inner checkpoint policy exceeded the remaining capacity. Proves that scan-over-layers cannot be evaluated at the current shape without prior memory-saving optimizations. writeup 2026-05-12-exp55-jax-scan-layers-fp32master.md
